Image Path,Actual Label,Predicted Label,Correct/Wrong
dataset\Flash drive-image.v1i.yolov11\test\download-5-_jpg.rf.72882a5610fd2dee86d27cc4cc48cb7a.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\download_png.rf.c532832a9dc37601f6eeaf9218fe8587.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-25-_jpg.rf.4ce3827c298a7fb21d5c6a90836d25c2.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-46-_jpg.rf.29ee703215c021a950b8319b6b71358b.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-51-_jpg.rf.21786b6000ea455a64bf639caae46d91.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-59-_jpg.rf.09072dfedff2a03819076f0e5c93046b.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-70-_jpg.rf.a97d0a94cc2e8d761e1212e97387e2f7.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-74-_jpg.rf.da449230e49ef523c4dd5ec2231be90f.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-84-_jpg.rf.797205c301154e7e07b1347e897da26e.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\Flash drive-image.v1i.yolov11\test\images-9-_jpg.rf.26e668cecb2450bff49dcca5d5e5768b.jpg,Flash drive-image.v1i.yolov11,Flash drive-image.v1i.yolov11,Correct
dataset\KEY\test\0CYIS59P5A8L.jpg,KEY,KEY,Correct
dataset\KEY\test\1978NGM9STD1.jpg,KEY,KEY,Correct
dataset\KEY\test\1XYDNN8DOW8D.jpg,KEY,KEY,Correct
dataset\KEY\test\28729e02d592bb401510a4b62dbca54e7b8e9ada.jpg,KEY,headphones,Wrong
dataset\KEY\test\2NWEY648G5YG.jpg,KEY,KEY,Correct
dataset\KEY\test\2P65DJPRDAR5.jpg,KEY,KEY,Correct
dataset\KEY\test\310BK4JTGXI8.jpg,KEY,KEY,Correct
dataset\KEY\test\3c2580cf4bfb3e0556f5210f53b943f8d777cd74.jpg,KEY,glasses,Wrong
dataset\KEY\test\433Q3I340X9N.jpg,KEY,KEY,Correct
dataset\KEY\test\4T0BYZZVSVMZ.jpg,KEY,KEY,Correct
dataset\KEY\test\594dc14f0e834b4dd3cad36dd4f9fcd128031e33.jpg,KEY,jewelry,Wrong
dataset\KEY\test\786b89380a7c19ccd6a75cd6f2017a9c567d1ffe.jpg,KEY,KEY,Correct
dataset\KEY\test\84QTY8JQ4MOZ.jpg,KEY,KEY,Correct
dataset\KEY\test\8A8AAU71OAJ9.jpg,KEY,KEY,Correct
dataset\KEY\test\8Q5R6XVXPX2D.jpg,KEY,KEY,Correct
dataset\KEY\test\9add5af1c6af025f72b68035a9bd8f23e947a2d2.jpg,KEY,KEY,Correct
dataset\KEY\test\a119cc400af9ead6a3b2497789daba03d6912bc1.jpg,KEY,KEY,Correct
dataset\KEY\test\ACG9LECX7FOG.jpg,KEY,KEY,Correct
dataset\KEY\test\AT4FLSQ3OJRR.jpg,KEY,KEY,Correct
dataset\KEY\test\B9HTD66YSTTV.jpg,KEY,KEY,Correct
dataset\KEY\test\bd5d65bee14eaffe1645fbec65960cfbb3ddb134.jpg,KEY,KEY,Correct
dataset\KEY\test\BLGMMQ7TXLN5.jpg,KEY,KEY,Correct
dataset\KEY\test\CHH0K9C263FR.jpg,KEY,necklace,Wrong
dataset\KEY\test\COI0P0R96D0M.jpg,KEY,KEY,Correct
dataset\KEY\test\D8IS94ZTCZIB.jpg,KEY,KEY,Correct
dataset\KEY\test\EHA8W45L5DPG.jpg,KEY,KEY,Correct
dataset\KEY\test\fc8da0c2c89ac563848e3f741c2bb0e1eabd471a.jpg,KEY,KEY,Correct
dataset\KEY\test\ff20aaf6c78df6b1acd486ecf8da34a09b62ddd5.jpg,KEY,KEY,Correct
dataset\KEY\test\FYU0KESSNEC7.jpg,KEY,KEY,Correct
dataset\KEY\test\GPPG5DOX0ON5.jpg,KEY,KEY,Correct
dataset\KEY\test\GWTFJX0MK87Y.jpg,KEY,KEY,Correct
dataset\KEY\test\H0VDYVG75VC4.jpg,KEY,KEY,Correct
dataset\KEY\test\H7C2YH8HK81X.jpg,KEY,KEY,Correct
dataset\KEY\test\HCLZRNTPL9VY.jpg,KEY,KEY,Correct
dataset\KEY\test\HI6S9BPNVYSH.jpg,KEY,KEY,Correct
dataset\KEY\test\K1B76MKM99ZE.jpg,KEY,KEY,Correct
dataset\KEY\test\KJQT9X9I8NHK.jpg,KEY,KEY,Correct
dataset\KEY\test\KV6IEHS83Z52.jpg,KEY,computer,Wrong
dataset\KEY\test\L59SHH8XC1FZ.jpg,KEY,KEY,Correct
dataset\KEY\test\L8F50K5S6SHP.jpg,KEY,KEY,Correct
dataset\KEY\test\MC752HXY21E3.jpg,KEY,KEY,Correct
dataset\KEY\test\NFYE96WZYPFR.jpg,KEY,KEY,Correct
dataset\KEY\test\P5SHL5PSC8CR.jpg,KEY,KEY,Correct
dataset\KEY\test\Q5T1PVZ9SYQR.jpg,KEY,KEY,Correct
dataset\KEY\test\QAJKOEG8U2DJ.jpg,KEY,KEY,Correct
dataset\KEY\test\QMKYJYYK3TDG.jpg,KEY,KEY,Correct
dataset\KEY\test\R2XN63G5383Q.jpg,KEY,KEY,Correct
dataset\KEY\test\RT5NRSRRMHQM.jpg,KEY,KEY,Correct
dataset\KEY\test\SLWZUZF19JGI.jpg,KEY,KEY,Correct
dataset\KEY\test\SMQ2U8YRGON9.jpg,KEY,KEY,Correct
dataset\KEY\test\SUGSVP3NDQ87.jpg,KEY,KEY,Correct
dataset\KEY\test\T79VS5OW2H5J.jpg,KEY,KEY,Correct
dataset\KEY\test\TU7TITTDMZFH.jpg,KEY,KEY,Correct
dataset\KEY\test\U39WE7KR4ZKK.jpg,KEY,KEY,Correct
dataset\KEY\test\UWOOJ1N77P94.jpg,KEY,KEY,Correct
dataset\KEY\test\VAM33ILX9QOG.jpg,KEY,KEY,Correct
dataset\KEY\test\W0TLI59GDF20.jpg,KEY,KEY,Correct
dataset\KEY\test\W7063SPLH312.jpg,KEY,KEY,Correct
dataset\KEY\test\WL6JU62M2ITU.jpg,KEY,KEY,Correct
dataset\KEY\test\WR5FA810XQ1R.jpg,KEY,KEY,Correct
dataset\KEY\test\WY8HE7MW7WH4.jpg,KEY,KEY,Correct
dataset\KEY\test\XDHZ6PV5LMIZ.jpg,KEY,KEY,Correct
dataset\KEY\test\ZR2ERUB3S2J9.jpg,KEY,KEY,Correct
dataset\books\test\083e99673de8e9a467d129aecf39b71039403642.jpg,books,books,Correct
dataset\books\test\0e2161306bf6ed29fa5e35e822be1ea35c484aab.jpg,books,books,Correct
dataset\books\test\0e6329a0fe03334eddaac3368eeb6339eb1ec3c9.jpg,books,computer,Wrong
dataset\books\test\1443df11abb535611db430c737242f734ca755dd.jpg,books,books,Correct
dataset\books\test\16ff07770c88905637a7cf46070cb17d478ff86e.jpg,books,books,Correct
dataset\books\test\1881e696706389fb8ed5b840f5e23059f3a6032d.jpg,books,books,Correct
dataset\books\test\1900487c61b86bc82787c6b8369f123f588192be.jpg,books,books,Correct
dataset\books\test\1fac649779db41d60b879c6a44126abf34c6ee61.jpg,books,KEY,Wrong
dataset\books\test\2036d1024fdc294ae5bb83f61332f6c4d88a20a1.jpg,books,books,Correct
dataset\books\test\2528b841148d259d4fe2fa1a2303eaa47278346f.jpg,books,books,Correct
dataset\books\test\28797cb5e20f69a49c7aaae2b660996c1e2adddb.jpg,books,books,Correct
dataset\books\test\326b952881166e10e86f6ecfbeba740309ce820e.jpg,books,wallet,Wrong
dataset\books\test\403f6a42b5d23ffc5703947be237412b41be6726.jpg,books,books,Correct
dataset\books\test\40e16f55b94020c1e977198d96c3e8529acc631a.jpg,books,books,Correct
dataset\books\test\419dd6d2c779c6035a920a9f9ae2372563237597.jpg,books,phone,Wrong
dataset\books\test\496bd1817e1f0573372ffedad90b00ba040277f8.jpg,books,books,Correct
dataset\books\test\4f809500b02fc5e3258cc141dafcda4d5126e673.jpg,books,books,Correct
dataset\books\test\56e4d660755c89073716c9356a0bd92003982cc8.jpg,books,books,Correct
dataset\books\test\68f1bbe4feb00b925caa89e1b9ad6d5372727e79.jpg,books,books,Correct
dataset\books\test\68fcf1d5f9d190c2c92f95370a50cc10ec866184.jpg,books,books,Correct
dataset\books\test\763ce48395727915c5e7c822d4d241bf89ffdb96.jpg,books,computer,Wrong
dataset\books\test\79c9176cfc22e662916729a38da9b60bd65007d6.jpg,books,books,Correct
dataset\books\test\7eb5fba7b02548cfc6c5566ca5c2ef3eaf35a00b.jpg,books,jewelry,Wrong
dataset\books\test\8c4722c1851ec45ecc08ba4f10dabd6eccfc163a.jpg,books,wallet,Wrong
dataset\books\test\8c9e3afccd410df57b9b20bd6e8efd699dacdabd.jpg,books,books,Correct
dataset\books\test\9912dff4df8964c409b7b597eef8b7f16bab76fc.jpg,books,books,Correct
dataset\books\test\9b77ab65a312e6c0e56f441d6ca6792c7dee3dab.jpg,books,books,Correct
dataset\books\test\a294e8305bedf9a7662dc0bbb1c3928fcb7aef2d.jpg,books,books,Correct
dataset\books\test\ae17ccf5a5a738e8b890e0f825b4cf718eacad3b.jpg,books,books,Correct
dataset\books\test\af242ef52fe1fc88d435e09e09f21469e8a4ba71.jpg,books,computer,Wrong
dataset\books\test\b067f5cfc706dde057035d3ae15d070c9c0d99bd.jpg,books,books,Correct
dataset\books\test\b13b1ca6dbff1a1fef392b6737889a7c8b3ea6b7.jpg,books,books,Correct
dataset\books\test\b52bad8979bff7e17624888969bc4d004b3497c3.jpg,books,tool,Wrong
dataset\books\test\bdf32cd0b52c36231361210b562e54eb88f6d61b.jpg,books,pen,Wrong
dataset\books\test\bfd7d696af530ab13bdad1385385adc3968f02d1.jpg,books,books,Correct
dataset\books\test\c12d1d18dd638df65425ed615b81a5c5b9eea006.jpg,books,tool,Wrong
dataset\books\test\c18809b508069d360aa280e5cacb74ef02150c9d.jpg,books,books,Correct
dataset\books\test\c3f1bc8ceaf9ec200b5b38514ea1c8bb0c2d0402.jpg,books,jewelry,Wrong
dataset\books\test\c57f3b4463bb161f28664a86a684a4d15b463c4b.jpg,books,shoudlerbags,Wrong
dataset\books\test\c5863579041607c90115e5de338d88f6532cd891.jpg,books,KEY,Wrong
